Title,Description,Preprocessed_Title,Preprocessed_Description
Murder,"Except in the cases hereinafter excepted, culpable homicide is murder, if the act by which the death is caused is done with the intention of causing death, or- Secondly.-If it is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused, or- Thirdly.-If it is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death, or- Fourthly.-If the person committing the act knows that it is so imminently dangerous that it must, in all probability, cause death or such bodily injury as is likely to cause death, and commits such act without any excuse for incurring the risk of causing death or such injury as aforesaid. Illustrations (a) A shoots Z with the intention of killing him. Z dies in consequence. A commits murder. (b) A, knowing that Z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention of causing bodily injury. Z dies in consequence of the blow. A is guilty of murder, although the blow might not have been sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. But if A, not knowing that Z is labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of health, here A, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such bodily injury as in the ordinary course of nature would cause death. (c) A intentionally gives Z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature. Z dies in consequence. Here, A is guilty of murder, although he may not have intended to cause Z's death. (d) A without any excuse fires a loaded cannon into a crowd of persons and kills one of them. A is guilty of murder, although he may not have had a premeditated design to kill any particular individual. Exception 1.-When culpable homicide is not murder.-Culpable homicide is not murder if the offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death of the person who gave the provocation or causes the death of any other person by mistake or accident. The above exception is subject to the following provisos:- First.-That the provocation is not sought or voluntarily provoked by the offender as an excuse for killing or doing harm to any person. Secondly.-That the provocation is not given by anything done in obedience to the law, or by a public servant in the lawful exercise of the powers of such public servant. Thirdly.-That the provocation is not given by anything done in the lawful exercise of the right of private defence. Explanation.-Whether the provocation was grave and sudden enough to prevent the offence from amounting to murder is a question of fact. Illustrations (a) A, under the influence of passion excited by a provocation given by Z, intentionally kills. Y, Z""s child. This is murder, in as much as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in doing an act caused by the provocation. (b) Y gives grave and sudden provocation to, A, A, on this provocation, fires a pistol at Y, neither intending nor knowing himself to be likely to kill Z, who is near him, but out of sight. A kills Z. Here A has not committed murder, but merely culpable homicide. (c) A is lawfully arrested by Z, a bailiff. A is excited to sudden and violent passion by the arrest, and kills Z. This is murder, in as much as the provocation was given by a thing done by a public servant in the exercise of his powers. (d) A appears as witness before Z, a Magistrate, Z says that he does not believe a word of A's deposition, and that A has perjured himself. A is moved to sudden passion by these words, and kills Z. This is murder. (e) A attempts to pull Z's nose, Z, in the exercise of the right of private defence, lays hold of A to prevent him from doing so. A is moved to sudden and violent passion in consequence, and kills Z. This is murder, in as much as the provocation was given by a thing done in the exercise of the right of private defence. (f) Z strikes B. B is by this provocation excited to violent rage. A, a bystander, intending to take advantage of B's rage, and to cause him to kill Z, puts a knife into B's hand for that purpose. B kills Z with the knife. Here B may have committed only culpable homicide, but A is guilty of murder. Exception 2.-Culpable homicide is not murder if the offender, in the exercise in good faith of the right of private defence of person or property, exceeds the power given to him by law and causes the death of the person against whom he is exercising such right of defence without premeditation, and without any intention of doing more harm than is necessary for the purpose of such defence. Illustration Z attempts to horsewhip A, not in such a manner as to cause grievous hurt to A. A draws out a pistol. Z persists in the assault. A believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots Z dead. A has not committed murder, but only culpable homicide. Exception 3.-Culpable homicide is not murder if the offender, being a public servant or aiding a public servant acting for the advancement of public justice, exceeds the powers given to him by law, and causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due discharge of his duty as such public servant and without ill-will towards the person whose death is caused. Exception 4.-Culpable homicide is not murder if it is committed without premeditation in a sudden fight in the heat of passion upon a sudden quarrel and without the offender having taken undue advantage or acted in a cruel or unusual manner. Explanation.-It is immaterial in such cases which party offers the provocation or commits the first assault. Exception 5.-Culpable homicide is not murder when the person whose death is caused, being above the age of eighteen years, suffers death or takes the risk of death with his own consent. Illustration A, by instigation, voluntarily causes, Z, a person under eighteen years of age to commit suicide. Here, on account of Z""s youth, he was incapable of giving consent to his own death; A has therefore abetted murder.",murder,except case hereinafter excepted culpable homicide murder act death caused done intention causing death secondlyif done intention causing bodily injury offender know likely cause death person harm caused thirdlyif done intention causing bodily injury person bodily injury intended inflicted sufficient ordinary course nature cause death fourthlyif person committing act know imminently dangerous must probability cause death bodily injury likely cause death commits act without excuse incurring risk causing death injury aforesaid illustration shoot z intention killing z dy consequence commits murder b knowing z labouring disease blow likely cause death strike intention causing bodily injury z dy consequence blow guilty murder although blow might sufficient ordinary course nature cause death person sound state health knowing z labouring disease give blow would ordinary course nature kill person sound state health although may intend cause bodily injury guilty murder intend cause death bodily injury ordinary course nature would cause death c intentionally give z swordcut clubwound sufficient cause death man ordinary course nature z dy consequence guilty murder although may intended cause z death without excuse fire loaded cannon crowd person kill one guilty murder although may premeditated design kill particular individual exception 1when culpable homicide murderculpable homicide murder offender whilst deprived power selfcontrol grave sudden provocation cause death person gave provocation cause death person mistake accident exception subject following proviso firstthat provocation sought voluntarily provoked offender excuse killing harm person secondlythat provocation given anything done obedience law public servant lawful exercise power public servant thirdlythat provocation given anything done lawful exercise right private defence explanationwhether provocation grave sudden enough prevent offence amounting murder question fact illustration influence passion excited provocation given z intentionally kill z child murder much provocation given child death child caused accident misfortune act caused provocation b give grave sudden provocation provocation fire pistol neither intending knowing likely kill z near sight kill z committed murder merely culpable homicide c lawfully arrested z bailiff excited sudden violent passion arrest kill z murder much provocation given thing done public servant exercise power appears witness z magistrate z say believe word deposition perjured moved sudden passion word kill z murder e attempt pull z nose z exercise right private defence lay hold prevent moved sudden violent passion consequence kill z murder much provocation given thing done exercise right private defence f z strike b b provocation excited violent rage bystander intending take advantage b rage cause kill z put knife b hand purpose b kill z knife b may committed culpable homicide guilty murder exception 2culpable homicide murder offender exercise good faith right private defence person property exceeds power given law cause death person exercising right defence without premeditation without intention harm necessary purpose defence illustration z attempt horsewhip manner cause grievous hurt draw pistol z persists assault believing good faith mean prevent horsewhipped shoot z dead committed murder culpable homicide exception 3culpable homicide murder offender public servant aiding public servant acting advancement public justice exceeds power given law cause death act good faith belief lawful necessary due discharge duty public servant without illwill towards person whose death caused exception 4culpable homicide murder committed without premeditation sudden fight heat passion upon sudden quarrel without offender taken undue advantage acted cruel unusual manner explanationit immaterial case party offer provocation commits first assault exception 5culpable homicide murder person whose death caused age eighteen year suffers death take risk death consent illustration instigation voluntarily cause z person eighteen year age commit suicide account z youth incapable giving consent death therefore abetted murder
Protection in respect of conviction for offences,"(1) No person shall be convicted of any offence except for violation of a law in force at the time of the commission of the Act charged as an offence, nor be subjected to a penalty greater than that which might have been inflicted under the law in force at the time of the commission of the offence. (2) No person shall be prosecuted and punished for the same offence more than once. (3) No person accused of any offence shall be compelled to be a witness against himself.",protection respect conviction offence,1 person shall convicted offence except violation law force time commission act charged offence subjected penalty greater might inflicted law force time commission offence 2 person shall prosecuted punished offence 3 person accused offence shall compelled witness
"Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth","1) The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth or any of them. (2) No citizen shall, on grounds only of religion, race, caste, sex, place of birth or any of them, be subject to any disability, liability, restriction or condition with regard to- (a) access to shops, public restaurants, hotels and places of public entertainment; or (b) the use of wells, tanks, bathing ghats, roads and places of public resort maintained wholly or partly out of State funds or dedicated to the use of the general public. (3) Nothing in this Article shall prevent the State from making any special provision for women and children. 1 (4) Nothing in this Article or in clause (2) of Article 29 shall prevent the State from making any special provision for the advancement of any socially and educationally backward classes of citizens or for the Scheduled Castes and the Scheduled Tribes. 2 [(5) Nothing in this Article or in sub-clause (g) of clause (1) of Article 19 shall prevent the State from making any special provision, by law, for the advancement of any socially and educationally backward classes of citizens or for the Scheduled Castes or the Scheduled Tribes in so far as such special provisions relate to their admission to educational institutions including private educational institutions, whether aided or unaided by the State, other than the minority educational institutions referred to in clause (1) of Article 30.] Added by the Constitution (First Amendment) Act, 1951 , Section 2. Added by the Constitution (Ninety-third Amendment) Act, 2005, Section 2. (w.e.f. 18-6-1951)",prohibition discrimination ground religion race caste sex place birth,1 state shall discriminate citizen ground religion race caste sex place birth 2 citizen shall ground religion race caste sex place birth subject disability liability restriction condition regard access shop public restaurant hotel place public entertainment b use well tank bathing ghat road place public resort maintained wholly partly state fund dedicated use general public 3 nothing article shall prevent state making special provision woman child 1 4 nothing article clause 2 article 29 shall prevent state making special provision advancement socially educationally backward class citizen scheduled caste scheduled tribe 2 5 nothing article subclause g clause 1 article 19 shall prevent state making special provision law advancement socially educationally backward class citizen scheduled caste scheduled tribe far special provision relate admission educational institution including private educational institution whether aided unaided state minority educational institution referred clause 1 article 30 added constitution first amendment act 1951 section 2 added constitution ninetythird amendment act 2005 section 2 wef 1861951
Certain principles of policy to be followed by the State,"The State shall, in particular, direct its policy towards securing- (a) that the citizens, men and women equally, have the right to an adequate means of livelihood; (b) that the ownership and control of the material resources of the community are so distributed as best to subserve the common good; (c) that the operation of the economic system does not result in the concentration of wealth and means of production to the common detriment; (d) that there is equal pay for equal work for both men and women; (e) that the health and strength of workers, men and women, and the tender age of children are not abused and that citizens are not forced by economic necessity to enter avocations unsuited to their age or strength; 1 (f) that children are given opportunities and facilities to develop in a healthy manner and in conditions of freedom and dignity and that childhood and youth are protected against exploitation and against moral and material abandonment. Substituted by the Constitution (Forty-second Amendment) Act, 1976 , Section 7, for Clause (f) (w.e.f. 3-1-1977).",certain principle policy followed state,state shall particular direct policy towards securing citizen men woman equally right adequate mean livelihood b ownership control material resource community distributed best subserve common good c operation economic system result concentration wealth mean production common detriment equal pay equal work men woman e health strength worker men woman tender age child abused citizen forced economic necessity enter avocation unsuited age strength 1 f child given opportunity facility develop healthy manner condition freedom dignity childhood youth protected exploitation moral material abandonment substituted constitution fortysecond amendment act 1976 section 7 clause f wef 311977
Extension of prescribed period in certain cases,"Any appeal or any application, other than an application under any of the provisions of Order XXI of the Code of Civil Procedure, 1908 , may be admitted after the prescribed period, if the appellant or the applicant satisfies the court that he had sufficient cause for not preferring the appeal or making the application within such period. Explanation.-The fact that the appellant or the applicant was misled by any order, practice or judgment of the High Court in ascertaining or computing the prescribed period may be sufficient cause within the meaning of this section.",extension prescribed period certain case,appeal application application provision order xxi code civil procedure 1908 may admitted prescribed period appellant applicant satisfies court sufficient cause preferring appeal making application within period explanationthe fact appellant applicant misled order practice judgment high court ascertaining computing prescribed period may sufficient cause within meaning section
Dowry death,"(1) Where the death of a woman is caused by any burns or bodily injury or occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that soon before her death she was subjected to cruelty or harassment by her husband or any relative of her husband for, or in connection with, any demand for dowry, such death shall be called ""dowry death"", and such husband or relative shall be deemed to have caused her death. Explanation.-For the purpose of this sub-section, ""dowry"" shall have the same meaning as in section 2 of the Dowry Prohibition Act, 1961 (28 of 1961). (2) Whoever commits dowry death shall be punished with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life.] Inserted by Act 43 of 1986, section 10 (w.e.f. 19-11-1986).",dowry death,1 death woman caused burn bodily injury occurs otherwise normal circumstance within seven year marriage shown soon death subjected cruelty harassment husband relative husband connection demand dowry death shall called dowry death husband relative shall deemed caused death explanationfor purpose subsection dowry shall meaning section 2 dowry prohibition act 1961 28 1961 2 whoever commits dowry death shall punished imprisonment term shall le seven year may extend imprisonment life inserted act 43 1986 section 10 wef 19111986
"Forgery of valuable security, will, etc","Whoever forges a document which purports to be a valuable security or a will, or an authority to adopt a son, or which purports to give authority to any person to make or transfer any valuable security, or to receive the principal, interest or dividends thereon, or to receive or deliver any money, movable property, or valuable security, or any document purporting to be an acquaintance or receipt acknowledging the payment of money, or an acquaintance or receipt for the delivery of any movable property or valuable security, shall be punished with 1 [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. Substituted by Act 26 of 1955, section 117 and Schedule, for ""transportation for life"" (w.e.f. 1-1-1956).",forgery valuable security etc,whoever forge document purport valuable security authority adopt son purport give authority person make transfer valuable security receive principal interest dividend thereon receive deliver money movable property valuable security document purporting acquaintance receipt acknowledging payment money acquaintance receipt delivery movable property valuable security shall punished 1 imprisonment life imprisonment either description term may extend ten year shall also liable fine substituted act 26 1955 section 117 schedule transportation life wef 111956
Remedies for enforcement of rights conferred by this Part,"(1) The right to move the Supreme Court by appropriate proceedings for the enforcement of the rights conferred by this Part is guaranteed. (2) The Supreme Court shall have power to issue directions or orders or writs, including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari, whichever may be appropriate, for the enforcement of any of (3) Without prejudice to the powers conferred on the Supreme Court by clauses (1) and (2), Parliament may by law empower any other court to exercise within the local limits of its jurisdiction all or any of the powers exercisable by the Supreme Court under clause (2). (4) The right guaranteed by this Article shall not be suspended except as otherwise provided for by this Constition.",remedy enforcement right conferred part,1 right move supreme court appropriate proceeding enforcement right conferred part guaranteed 2 supreme court shall power issue direction order writ including writ nature habeas corpus mandamus prohibition quo warranto certiorari whichever may appropriate enforcement 3 without prejudice power conferred supreme court clause 1 2 parliament may law empower court exercise within local limit jurisdiction power exercisable supreme court clause 2 4 right guaranteed article shall suspended except otherwise provided constition
Law declared by Supreme Court to be binding on all courts,The law declared by the Supreme Court shall be binding on all courts within the territory of India.,law declared supreme court binding court,law declared supreme court shall binding court within territory india
Punishment for culpable homicide not amounting to murder,"Whoever commits culpable homicide not amounting to murder shall be punished with 1 [imprisonment for life], or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which me death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death; or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to cause such bodily injury as is likely to cause death. Substituted by Act 26 of 1955, section 117 and Schedule, for ""transportation for life"" (w.e.f. 1-1-1956).",punishment culpable homicide amounting murder,whoever commits culpable homicide amounting murder shall punished 1 imprisonment life imprisonment either description term may extend ten year shall also liable fine act death caused done intention causing death causing bodily injury likely cause death imprisonment either description term may extend ten year fine act done knowledge likely cause death without intention cause death cause bodily injury likely cause death substituted act 26 1955 section 117 schedule transportation life wef 111956
"Criminal breach of trust by public servant, or by banker, merchant or agent","Whoever, being in any manner entrusted with property, or with any dominion over property in his capacity of a public servant or in the way of his business as a banker, merchant, factor, broker, attorney or agent, commits criminal breach of trust in respect of that property, shall be punished with 1 [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. Substituted by Act 26 of 1955, section 117 and Schedule, for ""transportation for life"" (w.e.f. 1-1-1956).",criminal breach trust public servant banker merchant agent,whoever manner entrusted property dominion property capacity public servant way business banker merchant factor broker attorney agent commits criminal breach trust respect property shall punished 1 imprisonment life imprisonment either description term may extend ten year shall also liable fine substituted act 26 1955 section 117 schedule transportation life wef 111956
Punishment for criminal breach of trust,"Whoever commits criminal breach of trust shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",punishment criminal breach trust,whoever commits criminal breach trust shall punished imprisonment either description term may extend three year fine
Punishment for criminal intimidation,"Whoever commits, the offence of criminal intimidation shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both; If threat be to cause death or grievous hurt, etc.- and if the threat be to cause death or grievous hurt, or to cause the destruction of any property by fire, or to cause an offence punishable with death or 1 [imprisonment for life], or with imprisonment for a term which may extend to seven years, or to impute, unchastity to a woman, shall be punished with imprisonment of either description for a term which may extend to seven years, or with line, or with both. STATE AMENDMENT 2 Uttar Pradesh Imprisonment of 7 years, or fine or both-Cognizable-Non-bailable-Triable by Magistrate of the first class-N on-compoundable. Substituted by Act 26 of 1955, section 117 and Schedule, for ""transportation for life"" (w.e.f. 1-1-1956). Vide Notification No. 777/VI1I 9-4(2)-87, dated 31st July, 1989, Published in U.P. Gazette, Extra., Pt. A, section (kha), dated 2nd August, 1989 .",punishment criminal intimidation,whoever commits offence criminal intimidation shall punished imprisonment either description term may extend two year fine threat cause death grievous hurt etc threat cause death grievous hurt cause destruction property fire cause offence punishable death 1 imprisonment life imprisonment term may extend seven year impute unchastity woman shall punished imprisonment either description term may extend seven year line state amendment 2 uttar pradesh imprisonment 7 year fine bothcognizablenonbailabletriable magistrate first classn oncompoundable substituted act 26 1955 section 117 schedule transportation life wef 111956 vide notification 777vi1i 94287 dated 31st july 1989 published gazette extra pt section kha dated 2nd august 1989
Lists of common and special jurors,"State(s): Delhi, Orissa, Punjab, West Bengal (1) The 1 [Clerk of the State] shall, before the first day of April in each year, and subject to such rules as the High Court from time to time prescribes, prepare - (a) a list of all persons liable to serve as common jurors ; and (b) a list of persons liable to serve as special jurors only. (2) Regard shall be had, in the preparation of the latter list, to the property, character and education of the persons whose names are entered therein. (3) No person shall be entitled to have his name entered in the special jurors' list merely because he may have been entered in the special jurors' list for a previous year. 2 [(4) The State Government may exempt any salaried servant of the Government from serving as a juror.] (5) Discretion of officer preparing lists : The 3 [Clerk of the State] shall, subject to such rules as aforesaid, have full discretion to prepare the said list as seems to him to be proper, and there shall be no appeal from, or review of, his decision. Substituted by the A.O. 1950 for "" Clerk of the Crown "". Substituted by the A.O. 1937 for the original sub-section (4). Substituted by the A.O. 1950 for "" Clerk of the Crown "".",list common special juror,state delhi orissa punjab west bengal 1 1 clerk state shall first day april year subject rule high court time time prescribes prepare list person liable serve common juror b list person liable serve special juror 2 regard shall preparation latter list property character education person whose name entered therein 3 person shall entitled name entered special juror list merely may entered special juror list previous year 2 4 state government may exempt salaried servant government serving juror 5 discretion officer preparing list 3 clerk state shall subject rule aforesaid full discretion prepare said list seems proper shall appeal review decision substituted ao 1950 clerk crown substituted ao 1937 original subsection 4 substituted ao 1950 clerk crown
Declaration that land is required for a public purpose,"(1) Subject to the provisions of Part VII of this Act, when the Appropriate Government is satisfied after considering the report, if any, made under section 5A, sub-section (2), that any particular land is needed for a public purpose, or for a company, a declaration shall be made to that effect under the signature of a Secretary to such Government or of some officer duly authorised to certify its orders 1 [and different declarations may be made from time to time in respect of different parcels of any land covered by the same notification under section 4, sub-section (1), irrespective of whether one report or different reports has or have been made (wherever required) under section 5-A, sub-section (2)]: 2 [3 [Provided that no declaration in respect of any particular land covered by a notification under section 4, sub-section (1),-- (i) published after the commencement of the Land Acquisition (Amendment and Validation) Ordinance, 1967 but before the commencement of the Land Acquisition (Amendment) Act, 1984 shall be made after the expiry of three years from the date of the publication of the notification; or (ii) published after the commencement of the Land Acquisition (Amendment) Act, 1984 , shall be made after the expiry of one year from the date of the publication of the notification: Provided further that] no such declaration shall be made unless the compensation to be awarded for such property is to be paid by a company, or wholly or partly out of public revenues or some fund controlled or managed by a local authority.] 4 [Explanation 1.-In computing any of the periods referred to in the first proviso, the period during which any action or proceeding to be taken in pursuance of the notification issued under Section 4, sub-section (1), is stayed by an order of a Court shall be excluded. Explanation 2.-Where the compensation to be awarded for such property is to be paid out of the funds of a corporation owned or controlled by the State, such compensation shall be deemed to be compensation paid out of public revenues]. 5 [(1A) Where any action or proceeding taken in pursuance of the notification issued under section 4, sub-section (1) or any declaration made under sub-section (1) within the period of one year referred to in clause (ii) of the first proviso to sub-section (1), is set aside or quashed by a court on or after the commencement of the Land Acquisition (Amendment) Act, 2002 , a declaration may be made under sub-section (1) within one hundred and eighty days from the date of the judgment of the court if the remaining period available under clause (ii) of the first proviso after the date of the judgment is less than one hundred and eighty days: Provided that where the remaining period is more than one hundred and eighty days, then a declaration under sub-section (1) may be made within that period.] (2 ) 6 [Every declaration] shall be published in the Official Gazette, 7 [and in two daily newspapers circulating in the locality in which the land is situate of which at least one shall be in the regional language, and the Collector shall cause public notice of the substance of such declaration to be given at convenient places in the said locality (the last of the date of such publication and the giving of such public notice, being hereinafter referred to as the date of publication of the declaration), and such declaration shall state] the district or other territorial division in which the land is situate, the purpose for which it is needed, its approximate area, and where a plan shall have been made of the land, the place where such plan may be inspected. (3) The said declaration shall be conclusive evidence that the land is needed for a public purpose or for a Company, as the case may be; and, after making such declaration the Appropriate Government may acquire the land in manner hereinafter appearing. Inserted by section 3(a)(i) of Land Acquisition (Amendment and Validation) Act, 1967 . Substituted by Act 68 of 1984 , section 6(a)(1) with effect from . 24-9-1984. Substituted by section 3(a)(ii) of Land Acquisition (Amendment and Validation) Act, 1967 . Inserted by Act 68 of 1984 , section 6(a)(2) with effect from . 24-9-1984. Inserted by section 2 of Land Acquisition (Amendment) Act, 2002 . The words ""The declaration"" Substituted by section 3(b) of Land Acquisition (Amendment and Validation) Act, 1967 . The words "", and shall state"" substituted by Act 68 of 1984, section 6(b) with effect from 24-9-1984.",declaration land required public purpose,1 subject provision part vii act appropriate government satisfied considering report made section 5a subsection 2 particular land needed public purpose company declaration shall made effect signature secretary government officer duly authorised certify order 1 different declaration may made time time respect different parcel land covered notification section 4 subsection 1 irrespective whether one report different report made wherever required section 5a subsection 2 2 3 provided declaration respect particular land covered notification section 4 subsection 1 published commencement land acquisition amendment validation ordinance 1967 commencement land acquisition amendment act 1984 shall made expiry three year date publication notification ii published commencement land acquisition amendment act 1984 shall made expiry one year date publication notification provided declaration shall made unless compensation awarded property paid company wholly partly public revenue fund controlled managed local authority 4 explanation 1in computing period referred first proviso period action proceeding taken pursuance notification issued section 4 subsection 1 stayed order court shall excluded explanation 2where compensation awarded property paid fund corporation owned controlled state compensation shall deemed compensation paid public revenue 5 1a action proceeding taken pursuance notification issued section 4 subsection 1 declaration made subsection 1 within period one year referred clause ii first proviso subsection 1 set aside quashed court commencement land acquisition amendment act 2002 declaration may made subsection 1 within one hundred eighty day date judgment court remaining period available clause ii first proviso date judgment le one hundred eighty day provided remaining period one hundred eighty day declaration subsection 1 may made within period 2 6 every declaration shall published official gazette 7 two daily newspaper circulating locality land situate least one shall regional language collector shall cause public notice substance declaration given convenient place said locality last date publication giving public notice hereinafter referred date publication declaration declaration shall state district territorial division land situate purpose needed approximate area plan shall made land place plan may inspected 3 said declaration shall conclusive evidence land needed public purpose company case may making declaration appropriate government may acquire land manner hereinafter appearing inserted section 3ai land acquisition amendment validation act 1967 substituted act 68 1984 section 6a1 effect 2491984 substituted section 3aii land acquisition amendment validation act 1967 inserted act 68 1984 section 6a2 effect 2491984 inserted section 2 land acquisition amendment act 2002 word declaration substituted section 3b land acquisition amendment validation act 1967 word shall state substituted act 68 1984 section 6b effect 2491984
